OBJECTID,FEATURETYPE,NAME,CAPACITY_kV,CLASSIFICATION,SITESUBURB,STATE,STATUS,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,SPATIALACCURACY,REVISED,LATITUDE,LONGITUDE
358,Substation,Wodonga,330,Terminal ,Baranduda,Victoria,Operational,20071017,albury-wodonga_2007oct17_air_vis_12cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-36.154815,146.950149
359,Substation,Hume,132,Zone ,Lake Hume Village,New South Wales,Operational,20071017,albury-wodonga_2007oct17_air_vis_12cm_mga55.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-36.10541,147.032556
360,Substation,Clover,66,Power Station,Bogong,Victoria,Operational,20070310,great-divide-fire-nth_2007mar10_air_vis_35cm_mga55,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-36.785784,147.219446
361,Substation,Jeeralang,220,Terminal ,Hazelwood North,Victoria,Operational,20060322,latrobe_2006mar22_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.276921,146.424482
362,Substation,East Rowville,220,Terminal ,Rowville,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.940959,145.236341
363,Substation,Waubra,220,Terminal ,Waubra,Victoria,Operational,20120712,AEMO-Australian Energy Market Operators 2012,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.355982,143.605915
364,Substation,Anglesea,220,Terminal ,Anglesea,Victoria,Operational,20071217,south-west_2007dec17_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.38548,144.183686
365,Substation,Malvern,220,Terminal ,Malvern East,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.877829,145.084433
366,Substation,Brunswick,220,Terminal ,Brunswick East,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.77267,144.984334
367,Substation,West Melbourne,220,Terminal ,Kensington,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.80034,144.934854
368,Substation,Richmond,220,Terminal ,Richmond,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.831136,145.001581
369,Substation,Yallourn,220,Power Station,Yallourn,Victoria,Operational,20060322,latrobe_2006mar22_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.174138,146.349914
370,Substation,Morwell,220,Terminal ,Morwell,Victoria,Operational,20060322,latrobe_2006mar22_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.258828,146.419898
371,Substation,Morwell,66,Power Station,Morwell,Victoria,Operational,20060322,latrobe_2006mar22_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.257164,146.420847
372,Substation,Basslink-Loy Yang,500,Terminal ,Loy Yang,Victoria,Operational,20060322,latrobe_2006mar22_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.262303,146.608085
373,Substation,Western Port,220,Terminal ,Hastings,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.281938,145.208307
374,Substation,Somerton ,66,Power Station,Somerton,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.631369,144.952978
375,Substation,Ringwood,220,Terminal ,Ringwood,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.820834,145.215577
376,Substation,Boambee South,132,Zone ,Boambee,New South Wales,Operational,20090101,Coffs_Harbour_9537_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-30.345123,153.067311
377,Substation,Nambucca,132,Zone ,Valla,New South Wales,Operational,20090101,Macksville_Nambucca_9436_9536_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-30.620334,152.958491
378,Substation,South Morang,500,Terminal ,South Morang,Victoria,Operational,20091202,portphillip_2009dec02_air_vis_35cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.644482,145.078436
379,Substation,Heywood,500,Terminal ,Heywood,Victoria,Operational,20030101,Glenelg_hopkins_spot_col_2p5m_2003_GDA94.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-38.180773,141.639092
380,Substation,Mount Beauty,220,Zone ,Mount Beauty,Victoria,Operational,20070310,great-divide-fire-nth_2007mar10_air_vis_35cm_mga55,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-36.743887,147.165862
381,Substation,Eildon,220,Power Station,Eildon,Victoria,Operational,20070126,Murrindindi_2007jan26_air_vis_50cm.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-37.223708,145.92092
382,Substation,Glenrowan,220,Terminal ,Winton,Victoria,Operational,20071001,benalla_strathbogie_2007oct_air_vis_50cm_mga55.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-36.493503,146.131973
383,Substation,Fosterville,220,Terminal ,Axedale,Victoria,Operational,20080501,SPOTCOV_AUK_S37E144-D,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-36.738229,144.510621
384,Substation,Chullora,132,Zone ,Strathfield,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.87896,151.065802
385,Substation,Sydney North,330,Bulk Supply Point,Dural,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.655631,151.030103
386,Substation,Mason Park,132,Zone ,Homebush,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.856349,151.074597
387,Substation,Sydney East,330,Subtransmission ,Belrose,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.725822,151.208282
388,Substation,Golden Grove,132,Sole Use,Yalgoo,Western Australia,Operational,20080101,Badja_2240_Jan_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-28.744854,116.942231
389,Substation,Regans,132,Zone ,Orange Springs,Western Australia,Operational,20060101,Gingin_2035_Jan_2006_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-31.010212,115.713044
390,Substation,Bannaby,330,Terminal ,Bannaby,New South Wales,Operational,20090101,Burragorang_8929_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.441746,150.051059
