OBJECTID,FEATURETYPE,NAME,CAPACITY_kV,CLASSIFICATION,SITESUBURB,STATE,STATUS,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,SPATIALACCURACY,REVISED,LATITUDE,LONGITUDE
1,Substation,Bowen North,132,Terminal,Bowen,Queensland,Operational,20060704,East_Queensland_SPOT.ecw,20140627,Airservices Australia,5,20130812,-20.017831,148.167513
2,Substation,Clements Gap Wind Farm,132,Zone ,Clements Gap,South Australia,Operational,20100101,ALPSM2P5_ZONE54_2010.ecw,20120712,AEMO-Australian Energy Market Operators 2012,3,20120710,-33.508265,138.130708
3,Substation,Snowtown Wind Farm,275,,Cameron,South Australia,Operational,20100305,ESRI World Imagery,20100305,ESRI World Imagery,3,20130812,-33.830205,138.11846
4,Substation,Blyth West,275,Switchyard,Blyth,South Australia,Operational,20100305,ESRI World Imagery,20100305,ESRI World Imagery,3,20130812,-33.846902,138.407543
5,Substation,Belalie-North Brown Hill Wind Farm,275,,Belalie East,South Australia,Operational,20070516,alav2p5_69574270_16052007.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-33.309212,138.727294
6,Substation,West Angelas Mine,220,Power Station,Newman,Western Australia,Operational,20100609,ESRI World Imagery,20100609,ESRI World Imagery,5,20130812,-23.154106,118.725055
7,Substation,West Angelas Mine,220,Switchyard,Newman,Western Australia,Operational,20100609,ESRI World Imagery,20100609,ESRI World Imagery,5,20130812,-23.148954,118.719173
8,Substation,Blayney Wind Farm,132,Zone ,Carcoar,New South Wales,Operational,20070101,Blayney_8730_50cm_2007.ecw,20001019,Airservices Australia,5,20131220,-33.628141,149.208199
9,Substation,Mumbida Wind Farm,132,Zone ,Burma Road,Western Australia,Operational,20100902,ESRI World Imagery,20100902,ESRI World Imagery,3,20130812,-28.991805,114.959888
10,Substation,Redbank,132,Switchyard,Warkworth,New South Wales,Operational,20130214,AEMO-Australian Energy Market Operators 2013,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.579544,151.072531
11,Substation,Manildra,132,Zone ,Manildra,New South Wales,Operational,20070101,Molong_8631_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.179897,148.716948
12,Substation,Cadia,132,Zone ,Panuara,New South Wales,Operational,20070101,Molong_8631_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.466353,148.992818
13,Substation,Homebush Bay,132,Subtransmission ,Sydney Olympic Park,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.83318,151.072999
14,Substation,Hillston,132,Zone ,Hillston,New South Wales,Operational,20080101,Griffith_8129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.515933,145.529721
15,Substation,Hay,132,Zone ,Hay,New South Wales,Operational,20080101,Griffith_8129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.489418,144.878289
16,Substation,Cullerin Range Wind Farm,66,Zone ,Cullerin,New South Wales,Operational,20080101,Goulburn_8828_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-34.79553,149.398176
17,Substation,Gunning Wind Farm,66,Zone ,Gurrundah,New South Wales,Operational,20080101,Goulburn_8828_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-34.695831,149.383175
18,Substation,Brandy Hill,132,Zone,Seaham,New South Wales,Under Construction,20130214,AEMO-Australian Energy Market Operators 2013,20130214,AEMO-Australian Energy Market Operators 2013,1,20130730,-32.67055,151.70367
19,Substation,Wellington Road-SSWRD,110,Zone ,East Brisbane,Queensland,Operational,20090101,Brisbane_Mosaic_15cm_MGA56_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-27.485018,153.040655
20,Substation,Meadows,66,Zone ,Kuitpo,South Australia,Operational,20030101,WestandEastMtLoftyRanges_2003_2005_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.171804,138.769297
21,Substation,Balhannah,66,Zone ,Balhannah,South Australia,Operational,20030101,WestandEastMtLoftyRanges_2003_2005_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.996883,138.819964
22,Substation,Harndorf,66,Zone ,Paechtown,South Australia,Operational,20030101,WestandEastMtLoftyRanges_2003_2005_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.04358,138.812985
23,Substation,Mount Barker South,275,Zone ,Macclesfield,South Australia,Operational,20030101,WestandEastMtLoftyRanges_2003_2005_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.08475,138.848607
24,Substation,Strathalbyn,66,Zone ,Bremer,South Australia,Operational,20030101,WestandEastMtLoftyRanges_2003_2005_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.271172,138.896151
25,Substation,Port Noarlunga,66,Zone ,Willunga,South Australia,Operational,20110101,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.170602,138.480014
26,Substation,Port Stanvac,66,Zone ,Noarlunga,South Australia,Operational,20110101,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.108761,138.489856
27,Substation,Oakland Hills Wind Farm,66,Zone ,Glenthompson,Victoria,Operational,20130214,AEMO-Australian Energy Market Operators 2013,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-37.681472,142.55226
28,Substation,Mortons Lane Wind Farm,66,Zone ,Woodhouse,Victoria,Operational,20130214,AEMO-Australian Energy Market Operators 2013,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-37.835157,142.46628
29,Substation,Ballarat North,66,Zone ,Wendouree,Victoria,Operational,20071217,south-west_2007dec17_air_vis_35cm_mga54_clip.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-37.534612,143.846895
30,Substation,Challicum Hills Wind Farm,66,Zone ,Buangor,Victoria,Operational,20030101,Glenelg_HopkinsCMA_125cm_2003.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-37.359352,143.152386
31,Substation,Ararat,66,Zone ,Ararat,Victoria,Operational,20030101,Glenelg_HopkinsCMA_125cm_2003.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-37.268728,142.92417
32,Substation,Stawell,66,Zone ,Stawell,Victoria,Operational,20040101,WimmeraCMA_60cm_2004.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-37.058339,142.752474
33,Substation,Lismore South,132,Zone ,South Lismore,New South Wales,Operational,20090101,Lismore_9540_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.821021,153.265804
34,Substation,Lismore ,132,Switchyard,Monaltrie,New South Wales,Operational,20090101,Lismore_9540_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.835008,153.294765
35,Substation,Lismore East,132,Zone ,Goonellabah,New South Wales,Operational,20090101,Ballina_9640_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.814558,153.343703
36,Substation,Alstonville,132,Zone ,Lynwood,New South Wales,Operational,20090101,Ballina_9640_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.86432,153.433262
37,Substation,Suffolk Park,132,Zone ,Byron Bay,New South Wales,Operational,20090101,Ballina_9640_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.672921,153.594071
38,Substation,Ballina,132,Zone ,Ballina,New South Wales,Operational,20090101,Ballina_9640_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.861021,153.551915
39,Substation,Lennox Head,132,Zone ,Tintenbar,New South Wales,Operational,20090101,Ballina_9640_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.781511,153.552245
40,Substation,Ewingsdale,132,Zone ,Ewingsdale,New South Wales,Operational,20090101,Ballina_9640_50cm+2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-28.637286,153.55436
41,Substation,Lake Munmorah,132,Subtransmission ,Lake Munmorah,New South Wales,Operational,19980101,lake_macq.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.188859,151.577413
42,Substation,Argenton,132,Zone ,Argenton,New South Wales,Operational,19980101,Newcastle.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.940258,151.626688
43,Substation,Maryland,132,Zone ,Wallsend,New South Wales,Operational,19980101,Newcastle.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.887815,151.652273
44,Substation,West Castle Hill,132,Zone ,Castle Hill,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.729113,150.978163
45,Substation,Rouse Hill,132,Zone ,Rouse Hill,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.69223,150.907974
46,Substation,Mungerie Park,132,Zone ,Rouse Hill,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.687471,150.921484
47,Substation,Bella Vista,132,Zone ,Bella Vista,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.744216,150.949565
48,Substation,Cheriton Avenue,132,Zone,Castle Hill,New South Wales,Operational,20130207,ESRI World Imagery,20130207,ESRI World Imagery,5,20130812,-33.732222,151.000157
49,Substation,City Central,132,Zone ,Sydney,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,2,20130730,-33.873207,151.20273
50,Substation,Belmore Park,132,Zone ,Haymarket,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.879796,151.207377
51,Substation,Beaconsfield North,132,Bulk Supply Point,Alexandria,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20120712,AEMO-Australian Energy Market Operators 2013,3,20130730,-33.914333,151.187904
52,Substation,Menai,132,Zone ,Menai,New South Wales,Operational,20080101,Port_Hacking_9129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.014897,151.010518
53,Substation,Kirrawee,132,Zone ,Kirrawee,New South Wales,Operational,20080101,Port_Hacking_9129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.033885,151.075456
54,Substation,Port Hacking,132,Zone ,Kirrawee,New South Wales,Operational,20080101,Port_Hacking_9129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.027144,151.080223
55,Substation,Cronulla,132,Zone ,Cronulla,New South Wales,Operational,20080101,Port_Hacking_9129_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-34.051094,151.146907
56,Substation,Eastern Creek,330,Zone ,Eastern Creek,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.813312,150.836804
57,Substation,BHP,132,Zone ,Rooty Hill,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.766423,150.848233
58,Substation,Quakers,132,Zone ,Quakers Hill,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20120123,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.735388,150.885936
59,Substation,Arndell Park,132,Zone,Arndell Park,New South Wales,Operational,20130207,ESRI World Imagery,20130207,ESRI World Imagery,5,20130812,-33.79042,150.890859
60,Substation,Granville,132,Zone,Granville,New South Wales,Operational,20130207,ESRI World Imagery,20130207,ESRI World Imagery,5,20130812,-33.830016,151.008894
61,Substation,North Parramatta,132,Zone,North Parramatta,New South Wales,Operational,20130207,ESRI World Imagery,20130207,ESRI World Imagery,5,20130812,-33.807492,151.009007
62,Substation,Wetherill Park,132,Transmission ,Wetherill Park,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.842052,150.911675
63,Substation,Bruce,132,Switchyard,Bruce,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.246208,149.108617
64,Substation,Woden,132,Zone,Woden Valley,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.33367,149.070425
65,Substation,Gold Creek,132,Zone,Gungahlin,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.17234,149.116692
66,Substation,Wanniassa,132,Zone,Tuggeranong,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.384105,149.095485
67,Substation,Civic,132,Zone,Acton,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.269519,149.109033
68,Substation,City East,132,Zone,Ainslie,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.269343,149.15021
69,Substation,Telopea Park,132,Zone,Kingston,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.310708,149.142895
70,Substation,Fyshwick,132,Zone,Fyshwick,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.331389,149.180885
71,Substation,Theodore,132,Zone,Theodore,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.459639,149.117317
72,Substation,Belconnen,132,Zone,Belconnen,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.229121,149.081976
73,Substation,Latham,132,Zone,Latham,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.215129,149.037775
74,Substation,Causeway,132,Switchyard,Kingston,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.315346,149.148965
75,Substation,Gilmore,132,Zone,Gilmore,Australian Capital Territory,Operational,20080101,Canberra_8727_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.410273,149.141386
76,Substation,Geehi Dam,132,Zone,Geehi,New South Wales,Operational,19990101,kosciusko.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-36.30177,148.313808
77,Substation,Halys,275,Switchyard,Ellesmere,Queensland,Operational,20110809,ESRI World Imagery,20110809,ESRI World Imagery,5,20130812,-26.771085,151.711302
78,Substation,Duaringa,132,Zone,Duaringa,Queensland,Operational,20100607,ESRI World Imagery,20100607,ESRI World Imagery,3,20130729,-23.710726,149.679791
79,Substation,Calliope River,132,Transmission ,Callemondah,Queensland,Operational,20110701,Powerlink Website,20110701,Powerlink Website,5,20130115,-23.856841,151.194178
80,Substation,Eagles Downs,132,Zone,Winchester,Queensland,Under Construction,20110801,Chapter 3 Final EIS Document,20130701,Powerlink Website,3,20130812,-22.174768,148.189121
81,Substation,Kurnell,132,Zone ,Kurnell,New South Wales,Operational,20080101,Port_Hacking_9129_50cm_2008.ecw,20110101,Transgrid Annual Report 2011,5,20130206,-34.015129,151.205888
82,Substation,Beaconsfield South,132,Bulk Supply Point,Alexandria,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20120712,AEMO-Australian Energy Market Operators 2013,3,20130730,-33.915711,151.186698
83,Substation,Double Bay,132,Zone ,Double Bay,New South Wales,Operational,20130118,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-33.883476,151.246689
84,Substation,Clovelly,132,Zone ,Randwick,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-33.908907,151.248036
85,Substation,Williamsdale,132,Zone ,Tuggeranong,Australian Capital Territory,Operational,20120712,AEMO High Voltage Network NSW B 2012,20120712,AEMO-Australian Energy Market Operators 2012,4,20130118,-35.585328,149.133324
86,Substation,Burrendong Dam,132,Zone ,Yarragal,New South Wales,Operational,20090101,Wellington_8632_50cm_2009.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.663743,149.107725
87,Substation,Orange North,132,Zone ,Orange,New South Wales,Operational,20070101,Orange_8731_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,3,20130730,-33.274212,149.108416
88,Substation,Mulwala,132,Transmission ,Mulwala,New South Wales,Operational,20120712,AEMO High Voltage Network NSW A 2012,20130214,AEMO-Australian Energy Market Operators 2013,4,20130730,-35.973376,145.999589
89,Substation,Corowa,132,Transmission ,Corowa,New South Wales,Operational,20120712,AEMO High Voltage Network NSW A 2012,20130214,AEMO-Australian Energy Market Operators 2013,4,20130730,-35.971458,146.390376
90,Substation,St Leonards,110,Zone ,St Leonards,Tasmania,Operational,20100401,DEVELOPMENT OF THE ELECTRICITY,20120712,AEMO-Australian Energy Market Operators 2012,5,20130117,-41.439677,147.176007
91,Substation,Goonyella Riverside,132,Transmission ,Moranbah,Queensland,Operational,20100510,Powerlink Website Substation EIS,20120712,AEMO-Australian Energy Market Operators 2012,4,20130726,-21.717933,148.023364
92,Substation,Bluff,110,Transmission ,Bluff,Queensland,Operational,20130116,Powerlink Website,20120712,AEMO-Australian Energy Market Operators 2012,3,20130116,-23.588073,149.039849
93,Substation,Kumbarilla Park,275,Transmission ,Kumbarilla,Queensland,Operational,20120712,AEMO-Australian Energy Market Operators 2012,20120712,AEMO-Australian Energy Market Operators 2012,3,20130116,-27.230434,150.849805
94,Substation,Western Downs,275,Transmission ,Hopeland,Queensland,Operational,20060101,Kogan_9043_60cm_2006.ecw,20120712,AEMO-Australian Energy Market Operators 2012,4,20130115,-26.930979,150.733529
95,Substation,Calliope River,275,Transmission ,Callemondah,Queensland,Operational,20110701,Powerlink Website,20110701,Powerlink Website,5,20130115,-23.85593,151.192377
96,Substation,Raglan,275,Transmission ,Raglan,Queensland,Operational,20110101,Powerlink Website,20120712,AEMO-Australian Energy Market Operators 2012,5,20130115,-23.751348,150.837807
97,Substation,Edgewater,132,Zone ,Edgewater,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosaic.ecw,20110701,Western Power 2011 Annual Planing Report,5,20120711,-31.772998,115.781134
98,Substation,Kewdale,132,Zone ,Kewdale,Western Australia,Operational,20080301,Perth_2034_Mar_2008_Mosiac.ecw,20120713,Western Power Website,5,20120713,-31.974971,115.953764
99,Substation,Cockburn Cement Limited,132,Zone ,Munster,Western Australia,Operational,20080301,Fremantle_2033_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120712,-32.151688,115.801115
100,Substation,Kwinana Stage C,330,Zone ,Naval Base,Western Australia,Operational,20080301,Fremantle_2033_Mar_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120712,-32.202615,115.774134
101,Substation,Alinta-Wagerup,330,Zone ,Wagerup,Western Australia,Operational,20080701,Pinjarra_2032_Jul_2008_Mosaic.ecw,20110701,Western Power 2011 Annual Planing Report,5,20120711,-32.915023,115.922017
102,Substation,Eneabba,330,Terminal ,Eneabba,Western Australia,Operational,20060701,Arrowsmith_1938_Jul_2006_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,1,20120710,-29.890404,115.392204
103,Substation,Karara Mine,330,Terminal ,Rothsay,Western Australia,Operational,20110701,Western Power 2011 Annual Planning Report,20110701,Western Power 2011 Annual Planning Report,1,20120710,-29.187316,116.758486
104,Substation,Three Springs,330,Terminal ,Womarden,Western Australia,Under Construction,20060201,Carnamah_2038_Feb_2006_Mosaic.ecw,20110701,Western Power 2011 Annual Planing Report,5,20120710,-29.519237,115.796176
105,Substation,Ron Goodin,22,Zone ,Sadadeen,Northern Territory,Operational,20050202,alcol2p5_WestMacDonnellRanges_V2.ecw,20110301,Northern Territory Utilities Commission Power and Water Corporation 2011,5,20120710,-23.708989,133.892133
106,Substation,Archer,66,Zone ,Archer,Northern Territory,Operational,20080130,AUD_S13E130-D,20120704,Northern Territory Utilities Commission Power and Water Corporation 2012,1,20120704,-12.518106,130.973886
107,Substation,Oonoonba,66,Zone ,Oonoonba,Queensland,Operational,20120704,Ergon Energy Website,20120704,Ergon Energy Website,5,20120704,-19.307011,146.821401
108,Substation,Rasmussen,66,Zone ,Rasmussen,Queensland,Operational,20100101,Townsville_25cm_mosiac_mga55_2010.ecw,20120712,AEMO-Australian Energy Market Operators 2012,1,20120704,-19.363922,146.720181
109,Substation,Neil Smith,66,Zone ,Townsville City,Queensland,Operational,20100101,Townsville_25cm_mosaic_mga55_2010.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120704,-19.261259,146.813491
110,Substation,Townsville Port,66,Zone ,South Townsville,Queensland,Operational,20060704,East_Queensland_SPOT.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120703,-19.260237,146.832852
111,Substation,Hermit Park,66,Zone ,Hermit Park,Queensland,Operational,20100101,Townsville_25cm_mosaic_mga55_2010.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120704,-19.280025,146.800316
112,Substation,Stuart,66,Zone ,Stuart,Queensland,Operational,20120712,AEMO-Australian Energy Market Operators 2012,20120712,AEMO-Australian Energy Market Operators 2012,5,20120703,-19.344618,146.848154
113,Substation,Clare South,66,Zone ,Clare,Queensland,Operational,20090101,CQ_Whole_project_Mosaic_50cm_MGA55_2009.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-19.83686,147.212592
114,Substation,Myrtletown,110,Zone ,Brisbane Airport,Queensland,Operational,20090101,Brisbane_Mosaic_15cm_MGA56_2009.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120703,-27.40261,153.130418
115,Substation,Griffin,110,Zone ,Griffin,Queensland,Operational,20120629,Energex Website,20120712,AEMO-Australian Energy Market Operators 2012,1,20120629,-27.273048,153.02059
116,Substation,McLachlan Street,110,Zone ,Fortitude Valley,Queensland,Operational,20090101,Brisbane_Mosaic_15cm_MGA56_2009.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120629,-27.458398,153.035955
117,Substation,SSQRT,110,Zone ,Petrie Terrace,Queensland,Operational,20090101,Brisbane_Mosaic_15cm_MGA56_2009.ecw,20120712,AEMO-Australian Energy Market Operators 2012,3,20120629,-27.466043,153.014017
118,Substation,Blackstone,110,Transmission ,Swanbank,Queensland,Operational,20120629,Powerlink Website,20120712,AEMO-Australian Energy Market Operators 2012,5,20120629,-27.647566,152.812134
119,Substation,Eraring,500,Subtransmission ,Eraring,New South Wales,Operational,20070101,gosford.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.060997,151.515465
120,Substation,City North,110,Zone ,Sydney,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.86727,151.203174
121,Substation,Camellia,132,Transmission ,Rosehill,New South Wales,Operational,20080101,Sydney_9130_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.82608,151.030447
122,Substation,Katoomba North,132,Zone ,Medlow Bath,New South Wales,Operational,20080101,Katoomba_8930_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.669668,150.325186
123,Substation,Oberon,132,Zone ,Oberon,New South Wales,Operational,20080101,Oberon_8830_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.6873,149.856773
124,Substation,North Parkes,132,Zone,Goonumbla,New South Wales,Operational,20090111,AUM_S33E148-C,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-32.91699,148.052871
125,Substation,Macarthur Wind Farm,500,Zone ,Macarthur,Victoria,Operational,20130812,AGL Energy Website,20120712,AEMO-Australian Energy Market Operators 2012,5,20130812,-38.064804,142.18436
126,Substation,Tarrone,500,Terminal ,Tarrone,Victoria,Under Construction,20071217,south-west_2007dec17_air_vis_35cm_mga54.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120627,-38.17917,142.181073
127,Substation,Wemen,220,Terminal ,Liparoo,Victoria,Operational,20120712,AEMO-Australian Energy Market Operators 2012,20120712,AEMO-Australian Energy Market Operators 2012,1,20120627,-34.784857,142.521461
128,Substation,Whitmore Square,66,Zone ,Adelaide,South Australia,Operational,20110101,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120627,-34.932214,138.595326
129,Substation,Keswick,66,Zone ,Adelaide,South Australia,Operational,20110101,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120627,-34.944567,138.57871
130,Substation,City West,275,Zone ,Keswick Terminal,South Australia,Operational,20110101,2011_Adelaide_MtLofty_Ranges_50cm_EdMask_MGA54.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120627,-34.939635,138.579846
131,Substation,Mornington,110,Zone ,Mornington,Tasmania,Operational,20090601,"Hobart Eastern Shore Report, Page 28",20120123,AEMO-Australian Energy Market Operators 2012,1,20120626,-42.860617,147.407549
132,Substation,West Wetherill,132,Transmission ,Wetherill Park,New South Wales,Operational,20070101,Penrith_9030_50cm_2007.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-33.841978,150.881375
133,Substation,Clare North,132,Zone ,Clare,South Australia,Operational,20060208,sp5xi2p5_365418_080206.ecw,20120712,AEMO-Australian Energy Market Operators 2012,1,20120710,-33.823233,138.629971
134,Substation,Munyang,132,Zone ,Kosciuszko National Park,New South Wales,Operational,19990101,Kosciusko.ecw,20130214,AEMO-Australian Energy Market Operators 2013,1,20130730,-36.351041,148.411728
135,Substation,Blowering,132,Power Station,Wereboldera,New South Wales,Operational,20080101,Tumut_8429_50cm_2008.ecw,20130214,AEMO-Australian Energy Market Operators 2013,5,20130730,-35.398285,148.245403
136,Substation,Abermain,275,Zone ,Tivoli,Queensland,Operational,20090101,Ipswich_9442_50cm_2009.ecw,20120712,AEMO-Australian Energy Market Operators 2012,2,20120710,-27.577163,152.771642
137,Substation,Townsville ,66,Zone ,Yabulu,Queensland,Operational,20090101,CQ_Whole_project_Mosaic_50cm_MGA55_2009.ecw,20120712,AEMO-Australian Energy Market Operators 2012,5,20120710,-19.201525,146.61894
138,Substation,Larcom Creek,275,Zone ,Aldoga,Queensland,Operational,20090101,9150_Gladstone_25cm_2009_Mga56.ecw,20120712,AEMO-Australian Energy Market Operators 2012,1,20120710,-23.82301,151.069777
139,Substation,Muja,220,Terminal ,Muja,Western Australia,Operational,20080201,Collie_2131_Feb_2008_Mosaic.ecw,20090101,2009 Transmission and Distribution Annual Report,5,20120710,-33.456046,116.309195
